iter	Passed	Remaining
0	108	542415
1	180	451015
2	253	421726
3	322	402305
4	399	398702
5	465	387578
6	568	405408
7	643	401555
8	714	396472
9	782	390281
10	849	385256
11	954	396594
12	1041	399669
13	1118	398327
14	1197	397869
15	1291	402400
16	1384	405730
17	1475	408357
18	1565	410441
19	1694	422005
20	1830	434026
21	1933	437568
22	2026	438576
23	2097	434977
24	2166	431059
25	2246	429781
26	2327	428681
27	2408	427637
28	2490	426944
29	2557	423719
30	2641	423450
31	2710	420871
32	2775	417829
33	2845	415631
34	2914	413451
35	3005	414490
36	3112	417484
37	3219	420342
38	3315	421698
39	3412	423121
40	3506	424093
41	3595	424397
42	3704	427040
43	3811	429266
44	3907	430272
45	3986	429375
46	4070	428964
47	4141	427299
48	4232	427676
49	4348	430522
50	4454	432276
51	4564	434330
52	4648	433898
53	4731	433413
54	4813	432741
55	4896	432320
56	4973	431275
57	5059	431124
58	5146	431000
59	5221	429926
60	5306	429668
61	5392	429460
62	5462	428049
63	5531	426633
64	5615	426382
65	5689	425303
66	5765	424489
67	5842	423747
68	5920	423090
69	6001	422675
70	6086	422528
71	6170	422320
72	6250	421890
73	6342	422213
74	6455	423922
75	6606	428040
76	6702	428496
77	6778	427764
78	6860	427367
79	6947	427269
80	7028	426855
81	7114	426720
82	7188	425849
83	7269	425428
84	7358	425496
85	7441	425189
86	7522	424814
87	7595	423942
88	7671	423339
89	7748	422745
90	7835	422706
91	7913	422162
92	7981	421145
93	8076	421529
94	8156	421134
95	8237	420803
96	8316	420357
97	8398	420114
98	8463	418970
99	8527	417857
100	8605	417402
101	8674	416563
102	8754	416224
103	8851	416713
104	8931	416376
105	9004	415756
106	9078	415165
107	9142	414138
108	9218	413665
109	9288	412932
110	9374	412890
111	9448	412374
112	9520	411732
113	9590	411034
114	9665	410576
115	9738	410024
116	9817	409747
117	9893	409341
118	9959	408524
119	10036	408135
120	10111	407703
121	10192	407532
122	10272	407321
123	10349	406954
124	10423	406518
125	10500	406198
126	10588	406266
127	10652	405471
128	10723	404927
129	10804	404742
130	10875	404211
131	10947	403736
132	11022	403356
133	11114	403589
134	11182	402991
135	11258	402648
136	11347	402806
137	11440	403084
138	11529	403186
139	11617	403304
140	11694	402997
141	11761	402362
142	11830	401832
143	11907	401533
144	11977	401046
145	12067	401194
146	12139	400761
147	12229	400944
148	12321	401145
149	12387	400532
150	12468	400409
151	12549	400272
152	12618	399741
153	12687	399239
154	12770	399182
155	12836	398588
156	12904	398075
157	12968	397419
158	13052	397392
159	13142	397553
160	13216	397245
161	13290	396905
162	13359	396432
163	13436	396208
164	13509	395862
165	13585	395616
166	13653	395127
167	13734	395019
168	13811	394806
169	13889	394623
170	14001	395405
171	14078	395170
172	14147	394728
173	14226	394592
174	14306	394448
175	14380	394155
176	14443	393554
177	14518	393305
178	14588	392900
179	14664	392686
180	14736	392342
181	14803	391886
182	14874	391523
183	14974	391947
184	15111	393303
185	15223	393997
186	15316	394205
187	15384	393778
188	15460	393540
189	15545	393535
190	15628	393500
191	15708	393371
192	15788	393246
193	15874	393253
194	15951	393070
195	16047	393318
196	16121	393054
197	16198	392850
198	16299	393237
199	16392	393430
200	16494	393823
201	16588	394015
202	16658	393653
203	16733	393391
204	16799	392943
205	16864	392475
206	16941	392278
207	17017	392064
208	17092	391823
209	17168	391606
210	17238	391252
211	17317	391113
212	17388	390785
213	17460	390503
214	17541	390394
215	17609	390027
216	17688	389870
217	17758	389545
218	17828	389215
219	17913	389205
220	17981	388842
221	18063	388773
222	18135	388493
223	18212	388323
224	18286	388088
225	18359	387832
226	18435	387636
227	18501	387230
228	18574	386971
229	18641	386600
230	18714	386354
231	18790	386185
232	18861	385899
233	18940	385776
234	19017	385601
235	19088	385320
236	19169	385257
237	19249	385144
238	19324	384948
239	19407	384913
240	19474	384559
241	19551	384409
242	19632	384323
243	19701	384018
244	19776	383824
245	19846	383543
246	19916	383258
247	19992	383083
248	20064	382832
249	20137	382618
250	20207	382329
251	20273	381979
252	20349	381810
253	20416	381487
254	20489	381256
255	20565	381102
256	20632	380782
257	20721	380859
258	20820	381115
259	20907	381150
260	20987	381064
261	21070	381033
262	21135	380680
263	21202	380365
264	21284	380307
265	21375	380415
266	21463	380473
267	21556	380625
268	21629	380412
269	21698	380123
270	21773	379959
271	21842	379675
272	21915	379468
273	21996	379404
274	22068	379170
275	22138	378927
276	22206	378626
277	22275	378360
278	22354	378262
279	22431	378137
280	22528	378330
281	22599	378107
282	22663	377744
283	22735	377538
284	22800	377201
285	22870	376969
286	22945	376807
287	23019	376623
288	23103	376611
289	23168	376284
290	23232	375952
291	23308	375806
292	23378	375572
293	23453	375417
294	23526	375230
295	23599	375035
296	23667	374780
297	23743	374631
298	23807	374307
299	23877	374082
300	23953	373942
301	24024	373733
302	24099	373581
303	24162	373246
304	24232	373023
305	24304	372821
306	24414	373215
307	24501	373257
308	24571	373021
309	24635	372717
310	24707	372524
311	24773	372239
312	24845	372050
313	24920	371901
314	24994	371744
315	25074	371680
316	25147	371505
317	25222	371363
318	25293	371158
319	25365	370963
320	25442	370855
321	25518	370726
322	25592	370577
323	25670	370485
324	25747	370361
325	25817	370161
326	25900	370125
327	25979	370055
328	26066	370083
329	26137	369881
330	26213	369766
331	26307	369890
332	26400	370008
333	26487	370032
334	26578	370119
335	26653	369976
336	26728	369843
337	26797	369616
338	26866	369397
339	26942	369267
340	27016	369123
341	27098	369079
342	27166	368840
343	27242	368724
344	27320	368633
345	27390	368426
346	27465	368285
347	27534	368075
348	27607	367912
349	27675	367694
350	27744	367481
351	27821	367370
352	27896	367231
353	27965	367030
354	28044	366953
355	28128	366940
356	28218	367001
357	28341	367486
358	28427	367504
359	28493	367250
360	28578	367246
361	28641	366955
362	28702	366653
363	28771	366446
364	28852	366385
365	28917	366136
366	28991	365984
367	29061	365794
368	29122	365489
369	29202	365427
370	29304	365638
371	29379	365506
372	29444	365253
373	29505	364954
374	29570	364703
375	29630	364388
376	29693	364125
377	29769	364005
378	29836	363788
379	29911	363663
380	29984	363514
381	30051	363290
382	30115	363036
383	30180	362789
384	30255	362668
385	30338	362641
386	30399	362360
387	30470	362186
388	30532	361920
389	30603	361754
390	30676	361605
391	30741	361371
392	30813	361211
393	30883	361034
394	30958	360919
395	31046	360951
396	31116	360776
397	31190	360651
398	31283	360743
